2026-03-04 13:22:03 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.

2026-03-04 13:22:09 | SAB_HD | 0.21 | WARMUP

2026-03-04 13:22:14 | SAB_HD | 0.21 | WARMUP

2026-03-04 13:22:19 | SAB_HD | 0.22 | WARMUP

2026-03-04 13:22:25 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 13:23:20 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.

2026-03-04 13:23:25 | SAB_HD | 0.09 | WARMUP

2026-03-04 13:23:31 | SAB_HD | 0.03 | WARMUP

2026-03-04 13:23:31 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 13:23:31 | SAB_HD | N/A | WARMUP

2026-03-04 13:24:37 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.

2026-03-04 13:24:43 | SAB_HD | 0.21 | WARMUP

2026-03-04 13:24:44 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 13:24:44 | SAB_HD | N/A | WARMUP

2026-03-04 13:25:15 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.

2026-03-04 13:25:21 | SAB_HD | 0.29 | WARMUP

2026-03-04 13:25:26 | SAB_HD | 0.48 | WARMUP

2026-03-04 13:25:31 | SAB_HD | 0.48 | WARMUP

2026-03-04 13:26:08 | SAB_HD | 0.45 | RED CRITICAL ALERT

2026-03-04 13:27:19 | SAB_HD | 0.42 | RED CRITICAL ALERT

2026-03-04 13:27:22 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 13:27:22 | SAB_HD | N/A | STREAM_DECODE_ERROR

2026-03-04 13:27:27 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.

2026-03-04 13:27:32 | SAB_HD | 0.52 | WARMUP

2026-03-04 13:27:37 | SAB_HD | 0.51 | WARMUP

2026-03-04 13:27:42 | SAB_HD | 0.39 | WARMUP

